a	какой-то
soulless	бездушный
soulmate	половинка
sound	звук|шум|звучать
sound camouflage	звукомаскировка
sound combination	звукосочетание
sound conductivity	звукопроводность
sound of talking	говор
sound of voices	говор
sound producer	звукорежиссёр
sound ranging	звукометрия
sound receiver	звукосниматель
sound recording	звукозапись
sound technician	звукооператор|акустик
sound-insulation	звукоизоляция
sound-locator	звукоулавливатель
sound-proof	звуконепроницаемый
sound-proofing	звукоизоляция
sound-ranger	звукоулавливатель
sound-ranging	звукоулавливание
sounding	измерение|звучащий|промер
sounding board	дека
sounding-lead	лот
soundless	беззвучный
soundly	здорово|здраво
soundman	акустик
soundness	полновесность
soup	суп|похлёбка|варево
sour	кислый|скиснуть|квашеный
sour clotted milk	простокваша
sour cream	сметана
sour puss	кислятина
sour stuff	кислятина
source	источник|исток|ключ
source study	источниковедение
sourdough	опара
sourish	кисловатый
sourly	кисло
sourness	кислота
souse	дуть|подуть
soutane	сутана
souteneur	сутенёр
south	юг|южный|зюйд
south africa	юар
south-east	юго-восточный|зюйд-ост
south-west	юго-запад|юго-западный|зюйд-вест
southeaster	зюйд-ост
southerly wind	зюйд
southern	южный|полуденный
southerner	южанин
southwester	зюйд-вест
